filepath,class,source
dataset\background\20260819_182509_266827.jpg,background,real
dataset\background\20260819_182522_114946.jpg,background,real
dataset\background\20260819_182538_299138.jpg,background,real
dataset\background\20260819_182556_766115.jpg,background,real
dataset\background\20260819_182622_426467.jpg,background,real
dataset\background\20260819_182637_115585.jpg,background,real
dataset\background\20260819_182650_298225.jpg,background,real
dataset\background\20260819_182753_806519_plastik_0.56.jpg,background,real
dataset\background\20260819_182754_978264_plastik_0.57.jpg,background,real
dataset\background\20260819_182756_148729_plastik_0.49.jpg,background,real
dataset\background\20260819_182757_319814_plastik_0.52.jpg,background,real
dataset\background\20260819_182858_811619.jpg,background,real
dataset\background\20260819_182914_302039_kaleng_0.56.jpg,background,real
dataset\background\20260819_182924_246436.jpg,background,real
dataset\background\20260819_183014_521853.jpg,background,real
dataset\background\20260819_183027_618439_kertas_0.54.jpg,background,real
dataset\background\20260819_183028_797212_kertas_0.53.jpg,background,real
dataset\background\20260819_183029_967869.jpg,background,real
dataset\background\20260823_010351_506778.jpg,background,real
dataset\background\20260823_010433_829556.jpg,background,real
dataset\background\20260823_010445_256933.jpg,background,real
dataset\background\20260823_010515_171625.jpg,background,real
dataset\background\20260823_010532_043046.jpg,background,real
dataset\background\20260823_010601_840464.jpg,background,real
dataset\background\20260823_010618_917782.jpg,background,real
dataset\background\20260823_010634_226456.jpg,background,real
dataset\background\20260823_010702_183137.jpg,background,real
dataset\background\20260823_010719_566889.jpg,background,real
dataset\background\20260827_151353_704339_plastik_0.35.jpg,background,real
dataset\background\20260827_151837_523524.jpg,background,real
dataset\background\20260827_152112_943168.jpg,background,real
dataset\background\20260827_152801_265578.jpg,background,real
dataset\background\20260827_165040_708079.jpg,background,real
dataset\background\20260827_170331_168980.jpg,background,real
dataset\background\20260827_203234_574397.jpg,background,real
dataset\background\20260828_082633_292341.jpg,background,real
dataset\background\20260828_110930_520048.jpg,background,real
dataset\background\20260829_003821_961245.jpg,background,real
dataset\background\20260901_140616_019505.jpg,background,real
dataset\background\20260901_173315_325009.jpg,background,real
dataset\background\20260901_202901_389544.jpg,background,real
dataset\background\20260901_211837_129727.jpg,background,real
dataset\background\20260901_211837_934581.jpg,background,real
dataset\background\20260901_212245_087937.jpg,background,real
dataset\background\20260901_215051_252045.jpg,background,real
dataset\background\crop_20260827_054716_320276.jpg,background,real
dataset\background\crop_20260827_055739_754555.jpg,background,real
dataset\background\crop_20260827_102805_451519.jpg,background,real
dataset\background\crop_20260827_122809_814803.jpg,background,real
dataset\background\crop_20260827_122938_686139.jpg,background,real
dataset\background\crop_20260827_124242_788778.jpg,background,real
dataset\background\crop_20260827_124854_905789.jpg,background,real
dataset\daun\20260823_010644_047432.jpg,daun,real
dataset\daun\20260823_010652_715258.jpg,daun,real
dataset\daun\20260823_010707_974040.jpg,daun,real
dataset\daun\20260823_010713_754914.jpg,daun,real
dataset\daun\20260823_010726_507136.jpg,daun,real
dataset\daun\20260827_180442_370523.jpg,daun,real
dataset\daun\20260827_180450_472165.jpg,daun,real
dataset\daun\20260827_181209_669526.jpg,daun,real
dataset\daun\20260827_181216_614058.jpg,daun,real
dataset\daun\20260827_181237_071327.jpg,daun,real
dataset\daun\20260827_203724_906620.jpg,daun,real
dataset\daun\20260827_203742_485638.jpg,daun,real
dataset\daun\20260828_111519_187375.jpg,daun,real
dataset\daun\20260828_111536_505464.jpg,daun,real
dataset\daun\20260828_111548_314794_kertas_0.57.jpg,daun,real
dataset\daun\20260828_111604_995814.jpg,daun,real
dataset\daun\20260828_111616_767784.jpg,daun,real
dataset\daun\20260828_111648_207823.jpg,daun,real
dataset\daun\20260828_111657_713190.jpg,daun,real
dataset\daun\20260828_111706_774254.jpg,daun,real
dataset\daun\20260828_111715_135093.jpg,daun,real
dataset\daun\20260828_112054_638613_daun_0.58.jpg,daun,real
dataset\daun\20260828_112107_405623.jpg,daun,real
dataset\daun\20260829_003724_861785_daun_0.60.jpg,daun,real
dataset\daun\20260829_003845_031238_daun_0.55.jpg,daun,real
dataset\daun\20260829_004022_309696.jpg,daun,real
dataset\daun\20260829_004034_543611.jpg,daun,real
dataset\daun\20260829_004107_635254.jpg,daun,real
dataset\daun\20260829_004129_798697.jpg,daun,real
dataset\daun\20260829_004150_621352.jpg,daun,real
dataset\daun\20260829_004156_881393.jpg,daun,real
dataset\daun\20260829_004243_651226.jpg,daun,real
dataset\daun\20260829_004250_129649.jpg,daun,real
dataset\daun\20260829_004357_033232.jpg,daun,real
dataset\daun\20260829_004405_247485.jpg,daun,real
dataset\daun\20260829_004412_429243.jpg,daun,real
dataset\daun\20260829_004420_185943.jpg,daun,real
dataset\daun\20260901_143214_956133.jpg,daun,real
dataset\daun\20260901_143332_461735_kertas_0.49.jpg,daun,real
dataset\daun\20260901_143335_851828.jpg,daun,real
dataset\daun\20260901_143347_020420.jpg,daun,real
dataset\daun\20260901_143352_369743_daun_0.45.jpg,daun,real
dataset\daun\20260901_203436_472123.jpg,daun,real
dataset\daun\20260901_212037_743845.jpg,daun,real
dataset\daun\20260901_212056_704830.jpg,daun,real
dataset\daun\20260901_212108_604663.jpg,daun,real
dataset\daun\20260901_212118_100748.jpg,daun,real
dataset\daun\20260901_212209_977190.jpg,daun,real
dataset\daun\20260901_212217_113590.jpg,daun,real
dataset\daun\crop_20260827_103515_098083.jpg,daun,real
dataset\daun\crop_20260827_103519_312771.jpg,daun,real
dataset\daun\crop_20260827_103521_377850.jpg,daun,real
dataset\daun\crop_20260827_103538_391821.jpg,daun,real
dataset\daun\crop_20260827_103542_250651.jpg,daun,real
dataset\daun\crop_20260827_103547_789114.jpg,daun,real
dataset\daun\crop_20260827_103558_726892.jpg,daun,real
dataset\daun\crop_20260827_103604_448657.jpg,daun,real
dataset\daun\crop_20260827_103609_371030.jpg,daun,real
dataset\daun\crop_20260827_103617_254745.jpg,daun,real
dataset\daun\crop_20260827_103622_427514.jpg,daun,real
dataset\daun\crop_20260827_103708_708050.jpg,daun,real
dataset\daun\stuck_20260828_112104_795674_background_0.53.jpg,daun,real
dataset\kaleng\20260827_171139_990924 - Copy.jpg,kaleng,real
dataset\kaleng\20260827_171139_990924.jpg,kaleng,real
dataset\kaleng\20260827_181339_448161 - Copy.jpg,kaleng,real
dataset\kaleng\20260827_181339_448161.jpg,kaleng,real
dataset\kaleng\20260828_111439_545570_kaleng_0.53 - Copy.jpg,kaleng,real
dataset\kaleng\20260828_111439_545570_kaleng_0.53.jpg,kaleng,real
dataset\kaleng\20260828_111456_983580 - Copy.jpg,kaleng,real
dataset\kaleng\20260828_111456_983580.jpg,kaleng,real
dataset\kaleng\20260901_141022_087821_plastik_0.54 - Copy.jpg,kaleng,real
dataset\kaleng\20260901_141022_087821_plastik_0.54.jpg,kaleng,real
dataset\kaleng\20260901_141038_336996 - Copy.jpg,kaleng,real
dataset\kaleng\20260901_141038_336996.jpg,kaleng,real
dataset\kaleng\20260901_141041_510205 - Copy.jpg,kaleng,real
dataset\kaleng\20260901_141041_510205.jpg,kaleng,real
